"id","seller_product_code","external_id","product_id","product","name","catalog_price","selling_price","row_total","voucher","quantity","status","commission","commission_percent","vat","aditional_data","created_at","order_id","updated_at"
290413,"SAMPON DALAN VOLUM ATX","67FE75B2B935D","67fe0c1b74dd9605570a2576","{}","Sampon pentru volum Dalan d'Olive, 400ml",18.5,18.5,111,0,6,9,7.46,8,19,"{""offer_id"":894213}","2025-06-07T04:50:02+00:00",260305,"2025-06-13T14:19:05+00:00"
290059,"SCUTECE PURE BABY BAMBUS NO.3 ATX","67ED513D43619","67ecddefa9dbdba022016a13","{}","Scutece-chilotel Pure Baby Organic Bamboo, nr.3, 4-10 kg, 56 bucati",39.9,39.9,39.9,0,1,9,2.68,8,19,"{""offer_id"":862480}","2025-06-06T10:30:03+00:00",259977,"2025-06-13T14:18:35+00:00"
288857,"ODORIZANT AMBRA 120ML ATX","67FFDBD1C042A","67ffb72dac79d5e6ac0f336a","{}","Odorizant de camera cu betisoare Purelife, 120 ml, Ambra",16.98,16.98,16.98,0,1,5,1.14,8,19,"{""offer_id"":896184}","2025-06-04T08:22:02+00:00",258881,"2025-06-13T14:14:17+00:00"
288767,"OSCAR M. LATEX S ATX","67ECD2ACBF8C0","67ecd05baff02a5dbf025bb0","{}","Manusi Latex usor pudrate Oscar, masura S, 100 buc",19.5,19.5,39,0,2,9,2.62,8,19,"{""offer_id"":862408}","2025-06-04T05:56:02+00:00",258798,"2025-06-13T14:16:53+00:00"
288766,"OSCAR M. LATEX M ATX","67ECD2B3D8C8D","67ecd0ac990629672306d209","{}","Manusi Latex usor pudrate Oscar, masura M, 100 buc",19.5,19.5,19.5,0,1,9,1.31,8,19,"{""offer_id"":862450}","2025-06-04T05:56:02+00:00",258798,"2025-06-13T14:16:53+00:00"
288705,"SET 12*PURE LILIAC 120 ATX","68012DD695B27","6800f26ec50a85e57b0801cf","{}","Set servetele umede Pure, 12 pachete x 120 buc, Liliac",65,65,65,0,1,9,4.37,8,19,"{""offer_id"":897641}","2025-06-03T20:24:02+00:00",258746,"2025-06-13T14:15:48+00:00"
288313,"SERVETELE PURE 120 TRANDAFIR ATX","67EC008A3B8E8","67eb9f4a592fb4c1370bf84d","{}","Servetele umede Pure, Trandafir, 120buc/pachet",9.9,9.9,9.9,0,1,9,0.67,8,19,"{""offer_id"":861670}","2025-06-03T09:04:05+00:00",258394,"2025-06-10T14:33:53+00:00"
288225,"OSCAR M. LATEX S ATX","67ECD2ACBF8C0","67ecd05baff02a5dbf025bb0","{}","Manusi Latex usor pudrate Oscar, masura S, 100 buc",19.5,19.5,19.5,0,1,9,1.31,8,19,"{""offer_id"":862408}","2025-06-03T06:24:02+00:00",258312,"2025-06-10T14:35:22+00:00"
288226,"OSCAR M. NITRIL S ATX","67EAC3A8D6B67","67ea7adda99ef6397e0aac62","{}","Manusi Nitril nepudrate Oscar, masura S, 100 buc",19.5,19.5,19.5,0,1,9,1.31,8,19,"{""offer_id"":861068}","2025-06-03T06:24:02+00:00",258312,"2025-06-10T14:35:22+00:00"
288001,"SCUTEC PURE BABY NO.5 ATX","67EBFFCE7C339","67eb8e52e5accc8d0f08905b","{}","Scutece Pure Baby Nr. 5, 11-20kg, 40 buc./pachet",39.9,39.9,39.9,0,1,9,2.68,8,19,"{""offer_id"":861551}","2025-06-02T15:50:02+00:00",258102,"2025-06-10T14:34:31+00:00"
286392,"OSCAR M. NITRIL S ATX","67EAC3A8D6B67","67ea7adda99ef6397e0aac62","{}","Manusi Nitril nepudrate Oscar, masura S, 100 buc",19.5,19.5,19.5,0,1,9,1.31,8,19,"{""offer_id"":861068}","2025-05-29T16:12:01+00:00",256660,"2025-06-03T10:30:24+00:00"
285898,"REZERVA ODORIZANT SPRING 210ML ATX","6807B6506C516","68078baf5c11f15d48056220","{}","Rezerva odorizant de camera Pure Air Spring, 210 ml",9.9,9.9,9.9,0,1,9,0.67,8,19,"{""offer_id"":904612}","2025-05-28T12:30:02+00:00",256196,"2025-06-03T08:24:55+00:00"
285819,"SERVETELE BABY SOFT MOV 120 ATX","67EC07BAA07DA","67ebc9e83a98ba4e3f0c9ec6","{}","Servetele umede BabySoft SuperSoft, 120buc/pachet",8.9,8.9,17.8,0,2,9,1.2,8,19,"{""offer_id"":861926}","2025-05-28T09:32:01+00:00",256126,"2025-06-03T08:11:32+00:00"
285662,"REZERVA ODORIZANT BUBBLE GUM 210ML ATX","6807B66DA80EF","680791c716449ef80e0047c1","{}","Rezerva odorizant de camera Pure Air Bubble Gum, 210 ml",9.9,9.9,9.9,0,1,9,0.67,8,19,"{""offer_id"":904631}","2025-05-27T21:38:03+00:00",255991,"2025-06-03T08:18:03+00:00"
285663,"REZERVA ODORIZANT LAVANDA 210ML ATX","6807B6562BE5A","68078d63f8883e341604b508","{}","Rezerva odorizant de camera Pure Air Lavanda, 210 ml",9.9,9.9,9.9,0,1,9,0.67,8,19,"{""offer_id"":904616}","2025-05-27T21:38:03+00:00",255991,"2025-06-03T08:18:03+00:00"
285664,"ODORIZANT GUMA DE MESTECAT 120ML ATX","67FFDBC789137","67ffb3fc52f911a5cb01039f","{}","Odorizant de camera cu betisoare Purelife, 120 ml, Guma de mestecat",16.98,16.98,16.98,0,1,9,1.14,8,19,"{""offer_id"":896176}","2025-05-27T21:38:03+00:00",255991,"2025-06-03T08:18:03+00:00"
285479,"SERVETELE BABY SOFT SUPER 120 ATX","67EC071EADF0E","67ebc4f0c3daa51ce7011710","{}","Servetele umede BabySoft, 120buc/pachet",8.9,8.9,8.9,0,1,9,0.6,8,19,"{""offer_id"":861817}","2025-05-27T15:16:01+00:00",255816,"2025-06-03T08:12:20+00:00"
284419,"SET 3*PURE 120 ATX","68127442B309A","681216fe0f76d3a1350a2708","{}","Set servetele umede Pure, 3 pachete x 120 buc ",24,24,24,0,1,9,1.61,8,19,"{""offer_id"":915522}","2025-05-25T17:22:02+00:00",254854,"2025-05-28T12:27:24+00:00"
