"id","seller_product_code","external_id","product_id","product","name","catalog_price","selling_price","row_total","voucher","quantity","status","commission","commission_percent","vat","aditional_data","created_at","updated_at","order_id"
105009,"8690529007547","684A92E70FE5B","684731d0930be772537e950e","{}","GEL DE DUS  LE JARDIN ORHIDEE ATX",13,13,13,0,1,9,0.87,8,19,"{""offer_id"":479966}","2025-06-18T10:52:02+00:00","2025-06-18T21:31:45+00:00",94144
105008,"8690529009596","684A92E910526","684733f4907cd317215175f4","{}","SAPUN LICHID LE JARDIN FREZIE ATX",11.9,11.9,11.9,0,1,9,0.8,8,19,"{""offer_id"":479968}","2025-06-18T10:52:02+00:00","2025-06-18T21:31:45+00:00",94144
105007,"8690529009596","684A92E910526","684733f4907cd317215175f4","{}","SAPUN LICHID LE JARDIN FREZIE ATX",11.9,11.9,35.7,0,3,1,2.4,8,19,"{""offer_id"":479968}","2025-06-18T10:50:02+00:00",,94143
105006,"8690529007547","684A92E70FE5B","684731d0930be772537e950e","{}","GEL DE DUS  LE JARDIN ORHIDEE ATX",13,13,13,0,1,1,0.87,8,19,"{""offer_id"":479966}","2025-06-18T10:50:02+00:00",,94142
105005,"8690529009619","684A92E830DD4","684732fb5fd5a44a10754901","{}","SAPUN LICHID LE JARDIN ORHIDEE ATX",11.9,11.9,11.9,0,1,1,0.8,8,19,"{""offer_id"":479967}","2025-06-18T10:50:02+00:00",,94141
105004,"8690529009596","684A92E910526","684733f4907cd317215175f4","{}","SAPUN LICHID LE JARDIN FREZIE ATX",11.9,11.9,11.9,0,1,2,0.8,8,19,"{""offer_id"":479968}","2025-06-18T10:48:02+00:00","2025-06-20T11:25:19+00:00",94140
