"id","product_id","seller_product_code","status","is_processed","price","min_selling_price","vat","stock","created_at","last_update","max_products_on_order","min_delivery_interval","max_delivery_interval","seller_product_url","selling_price","selling_price_date_start","selling_price_date_end"
479966,"684731d0930be772537e950e","8690529007547",1,1,13,12,19,"[{""quantity"":998,""last_update"":""2025-06-18T10:52:02+00:00""}]","2025-06-09T19:11:12+00:00","2025-06-09T19:11:12+00:00",50,4,5,,,,
479967,"684732fb5fd5a44a10754901","8690529009619",1,1,11.9,10.5,19,"[{""quantity"":1499,""last_update"":""2025-06-18T10:50:02+00:00""}]","2025-06-09T19:16:11+00:00","2025-06-09T19:16:11+00:00",50,4,5,,,,
479968,"684733f4907cd317215175f4","8690529009596",1,1,11.9,10.5,19,"[{""quantity"":1995,""last_update"":""2025-06-18T10:52:02+00:00""}]","2025-06-09T19:20:20+00:00","2025-06-09T19:20:20+00:00",50,4,5,,,,
480049,"684ec76e78f52c3b844dcde2","the_seller_product_code",1,0,1500,1400,19,"[]","2025-06-15T13:15:26+00:00","2025-06-15T13:15:26+00:00",12,1,2,"https://seller-url.com/path-to-product-page/",1400,"2025-06-15T00:00:00+00:00","2025-07-14T00:00:00+00:00"
480050,"684ec9ac3f55b759ff3ffe8c","the_seller_product_code_unic",1,0,500,430,19,"[]","2025-06-15T13:25:00+00:00","2025-06-15T13:25:00+00:00",12,1,2,"https://seller-url.com/path-to-product-page",450,"2025-06-15T00:00:00+00:00","2025-07-14T00:00:00+00:00"
480051,"684ece134e36b0277a100b53","7499950261204",1,0,1500,1400,19,"[]","2025-06-15T13:43:47+00:00","2025-06-15T13:43:47+00:00",12,1,2,"https://seller-url.com/path-to-product-page/",1400,"2025-06-15T00:00:00+00:00","2025-07-14T00:00:00+00:00"
480052,"684ece1578f52c3b844dcde3","7499950276376",1,0,500,430,19,"[]","2025-06-15T13:43:49+00:00","2025-06-15T13:43:49+00:00",12,1,2,"https://seller-url.com/path-to-product-page",450,"2025-06-15T00:00:00+00:00","2025-07-14T00:00:00+00:00"
